No,Code
0255,95546385
0256,23774225
0257,57361427
0258,72791061
0259,25775126
0260,41565209
0261,68713498
0262,19594282
0263,22914097
0264,56251442
0265,38495282
0266,79883321
0267,57920574
0268,13239361
0269,98587714
0270,70863943
0271,86920264
0272,55006283
0273,36715597
0274,22883408
0275,10615904
0276,50891873
0277,94530673
0278,74968182
0279,93697144
0280,34600060
0281,41587843
0282,70612101
0283,18609287
0284,57146503
0285,66104459
0286,61312141
0287,45434004
0288,29052054
0289,13995160
0290,45651096
0291,45989020
0292,53075101
0293,95341728
0294,28931235
0295,15318181
0296,92894377
0297,45022380
0298,93404343
0299,66086073
0300,33488059
0301,15156412
0302,98307261
0303,47461571
0304,66012356
0305,43510991
0306,89664723
0307,68003028
0308,47377623
0309,54486240
0310,20874465
0311,97641699
0312,35063013
0313,24245480
0314,73020650
0315,98757868
0316,82214130
0317,11064562
0318,33395964
0319,58998019
0320,68072707
0321,57752841
0322,19418383
0323,63010067
0324,84084003
0325,22023466
0326,27665715
0327,29742388
0328,94254392
0329,95591739
0330,50466108
0331,38810941
0332,35661136
0333,68889939
0334,25322840
0335,37545305
0336,19985754
0337,93545835
0338,52159854
0339,44356977
0340,36433284
0341,20747653
0342,75453832
0343,18990484
0344,61662614
0345,19643802
0346,99290523
0347,83969435
0348,91985308
0349,64736672
0350,87117221
0351,33394094
0352,45454766
0353,16893362
0354,71628213
0355,20116919
0356,17356222
0357,10196419
0358,34618836
0359,93466089
0360,92739050
0361,86312431
0362,76944882
0363,25017843
0364,10786294
0365,37760504
0366,99046909
0367,79183359
0368,81892865
0369,31653379
0370,54785541
0371,71484940
0372,46044698
0373,34407962
0374,78216730
0375,62264868
0376,82873896
0377,80553513
0378,85995053
0379,69439024
0380,56583729
0381,88014388
0382,52477492
0383,67472954
0384,83531324
0385,31362625
0386,56936006
0387,90625613
0388,73864807
0389,24170097
0390,18517619
0391,15568504
0392,96169594
0393,92571259
0394,77250172
0395,39810685
0396,66041475
0397,40443524
0398,94516874
0399,51775114
0400,70407820
0401,23799437
0402,71788182
0403,68589210
0404,65834653
0405,27846304
0406,37676708
0407,56899240
0408,41682613
0409,93312694
0410,10933943
0411,46057145
0412,62265027
0413,56311491
0414,29875913
0415,23840462
0416,11187926
0417,69226201
0418,85372634
0419,71261917
0420,38473450
0421,80107243
0422,35346159
0423,83998448
0424,82476784
0425,89575155
0426,75646708
0427,97009404
0428,47552254
0429,73285379
0430,79888135
0431,40804105
0432,81983242
0433,80418573
0434,70997777
0435,64014100
0436,25806614
0437,56975135
0438,93740832
0439,25399077
0440,89573159
0441,17473320
0442,47640361
0443,75630382
0444,34862896
0445,15365939
0446,81706804
0447,37748535
0448,89866040
0449,52836154
0450,50161469
0451,36548414
0452,17182527
0453,58990403
0454,33822533
0455,18929482
0456,48064331
0457,88196940
0458,57231181
0459,50321230
0460,78458711
0461,86196055
0462,55195482
0463,15855452
0464,79800168
0465,29210473
0466,47947626
0467,20651884
0468,45045614
0469,30383983
0470,32518006
0471,29069185
0472,83183491
0473,37785479
0474,47300500
0475,96233365
0476,32794518
0477,45561752
0478,62848920
0479,82419615
0480,59695018
0481,86040494
0482,68837300
0483,77238197
0484,35121081
0485,35940283
0486,90017725
0487,15742910
0488,21448637
0489,57311168
0490,86091713
0491,90664898
0492,91844550
0493,29568978
0494,12873687
0495,22931418
0496,56811483
0497,81086431
0498,48988131
0499,12795895
0500,49029119
0501,35955283
0502,90055725
0503,15755910
0504,21558637
